GDPLoss_CO2_1	Fig1a1
GDPLoss_CO2_2	Fig1a2
GDPLoss_Kyotogas_1	Fig1b1
GDPLoss_Kyotogas_2	Fig1b2
GDPLoss_timeseries	Fig1c
GDP_loss_Dif	Fig1d
GDPLossratIntegration(IST)	Fig1e
Cap_sto_GI	Fig2a
Cap_Cos_Ele_WinOns_ESC	Fig2b
Cap_Cos_Ele_SolarPV_ESC	Fig2c
Fin_Ene_EDC	Fig2d
Ele_rat_Ele_EDC	Fig2e
Foo_Ene_Sup_Liv_Per_Cap_FST	Fig2f
Fod_Wst_FST	Fig2g
dec1000C_Investment(GI)_2100	Fig2h
dec1000C_EnergySupply(ESC)_2100	Fig2i
dec1000C_EnergyDemand(EDC)_2100	Fig2j
dec1000C_Food(FST)_2100	Fig2k
dec1000C_Integration(IST)_2100	Fig2l
Region1	Fig3a
GDPLoss_NPV_Region	Fig3b
Intensity	Fig3c
ShareValAdd_ind	Fig3d
ShareValAdd_agr	Fig3e
GDPLoss_DisCount_1	Fig4abc1
GDPLoss_DisCount_2	Fig4abc2
NPV_regopm	Fig4d
NPV_NDC	Fig4e
