Model	ModelN
AIM/CGE 2.0	AIM_CGE 2_0
AIM/CGE 2.1	AIM_CGE 2_1
C-ROADS-5.005	C-ROADS-5_005
GCAM 4.2	GCAM 4_2
GENeSYS-MOD 1.0	GENeSYS-MOD 1_0
IEA Energy Technology Perspective Model 2017	IEA Energy Technology Perspective Model 2017
IEA World Energy Model 2017	IEA World Energy Model 2017
IMAGE 3.0.1	IMAGE 3_0_1
IMAGE 3.0.2	IMAGE 3_0_2
MERGE-ETL 6.0	MERGE-ETL 6_0
MESSAGE-GLOBIOM 1.0	MESSAGE-GLOBIOM 1_0
MESSAGE V.3	MESSAGE V_3
MESSAGEix-GLOBIOM 1.0	MESSAGEix-GLOBIOM 1_0
POLES ADVANCE	POLES ADVANCE
POLES CD-LINKS	POLES CD-LINKS
POLES EMF33	POLES EMF33
Reference	Reference
REMIND-MAgPIE 1.5	REMIND-MAgPIE 1_5
REMIND-MAgPIE 1.7-3.0	REMIND-MAgPIE 1_7-3_0
REMIND 1.5	REMIND 1_5
REMIND 1.7	REMIND 1_7
Shell World Energy Model 2018	Shell World Energy Model 2018
WITCH-GLOBIOM 3.1	WITCH-GLOBIOM 3_1
WITCH-GLOBIOM 4.2	WITCH-GLOBIOM 4_2
WITCH-GLOBIOM 4.4	WITCH-GLOBIOM 4_4
