Variable	Variable2
Capacity|Electricity|Biomass	Cap_Ele_Bio
Capacity|Electricity|Coal	Cap_Ele_Coa
Capacity|Electricity|Gas	Cap_Ele_Gas
Capacity|Electricity|Geothermal	Cap_Ele_Geo
Capacity|Electricity|Hydro	Cap_Ele_Hyd
Capacity|Electricity|Nuclear	Cap_Ele_Nuc
Capacity|Electricity|Solar	Cap_Ele_Solar
Capacity|Electricity|Solar|PV	Cap_Ele_SolarPV
Capacity|Electricity|Wind	Cap_Ele_Win
Capacity|Electricity|Wind|Onshore	Cap_Ele_Win_Ons
Carbon Sequestration|CCS	Car_Seq_CCS
Carbon Sequestration|CCS|Biomass	Car_Seq_CCS_Bio
Carbon Sequestration|CCS|Biomass|Energy|Supply	Car_Seq_CCS_Bio_Ene_Sup
Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity	Car_Seq_CCS_Bio_Ene_Sup_Ele
Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids	Car_Seq_CCS_Bio_Ene_Sup_Liq
Carbon Sequestration|CCS|Fossil	Car_Seq_CCS_Fos
Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry	Car_Seq_CCS_Fos_Ene_Dem_Ind
Carbon Sequestration|CCS|Fossil|Energy|Supply	Car_Seq_CCS_Fos_Ene_Sup
Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity	Car_Seq_CCS_Fos_Ene_Sup_Ele
Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids	Car_Seq_CCS_Fos_Ene_Sup_Liq
Carbon Sequestration|Land Use	Car_Seq_Lan_Use
Consumption	CNS
Emissions|BC	Emi_BC
Emissions|CH4	Emi_CH4
Emissions|CH4|AFOLU	Emi_CH4_AFO
Emissions|CH4|Energy|Demand|Industry	Emi_CH4_Ene_Dem_Ind
Emissions|CH4|Energy|Demand|Transportation	Emi_CH4_Ene_Dem_Tra
Emissions|CH4|Energy|Supply	Emi_CH4_Ene_Sup
Emissions|CO	Emi_CO
Emissions|CO2	Emi_CO2
Emissions|CO2|AFOLU	Emi_CO2_AFO
Emissions|CO2|Energy and Industrial Processes	Emi_CO2_Ene_and_Ind_Pro
Emissions|CO2|Energy|Demand	Emi_CO2_Ene_Dem
Emissions|CO2|Energy|Demand|AFOFI	Emi_CO2_Ene_Dem_AFO
Emissions|CO2|Energy|Demand|Industry	Emi_CO2_Ene_Dem_Ind
Emissions|CO2|Energy|Demand|Transportation	Emi_CO2_Ene_Dem_Tra
Emissions|CO2|Energy|Supply	Emi_CO2_Ene_Sup
Emissions|CO2|Other	Emi_CO2_Oth
Emissions|F-Gases	Emi_F_G
Emissions|HFC	Emissions_HFC
Emissions|N2O	Emi_N2O
Emissions|N2O|AFOLU	Emi_N2O_AFO
Emissions|NH3	Emi_NH3
Emissions|NOx	Emi_NOx
Emissions|OC	Emi_OC
Emissions|SF6	Emi_SF6
Emissions|Sulfur	Emi_Sul
Emissions|VOC	Emi_VOC
Final Energy	Fin_Ene
Final Energy|Electricity	Fin_Ene_Ele
Final Energy|Gases	Fin_Ene_Gas
Final Energy|Heat	Fin_Ene_Heat
Final Energy|Industry|Electricity	Fin_Ene_Ind_Ele
Final Energy|Industry|Gases	Fin_Ene_Ind_Gas
Final Energy|Industry|Heat	Fin_Ene_Ind_Heat
Final Energy|Industry|Liquids	Fin_Ene_Ind_Liq
Final Energy|Industry|Solids	Fin_Ene_Ind_Solids
Final Energy|Liquids	Fin_Ene_Liq
Final Energy|Residential and Commercial	Fin_Ene_Res_and_Com
Final Energy|Residential and Commercial|Heat	Fin_Ene_Res_and_Com_Heat
Final Energy|Solids	Fin_Ene_Solids
Final Energy|Solids|Biomass	Fin_Ene_SolidsBio
Final Energy|Solids|Coal	Fin_Ene_SolidsCoa
Final Energy|Transportation	Fin_Ene_Tra
Final Energy|Transportation|Electricity	Fin_Ene_Tra_Ele
Final Energy|Transportation|Liquids|Biomass	Fin_Ene_Tra_Liq_Bio
Final Energy|Transportation|Liquids|Oil	Fin_Ene_Tra_Liq_Oil
GDP|MER	GDP_MER
GDP|PPP	GDP_PPP
Investment|Energy Supply	Inv_Ene_Sup
Investment|Energy Supply|Electricity	Inv_Ene_Sup_Ele
Investment|Energy Supply|Electricity|Fossil	Inv_Ene_Sup_Ele_Fos
Investment|Energy Supply|Electricity|Non-fossil	Inv_Ene_Sup_Ele_Non
Investment|Energy Supply|Extraction|Fossil	Inv_Ene_Sup_Ext_Fos
Land Cover	Lan_Cov
Land Cover|Cropland	Lan_Cov_Cro
Land Cover|Cropland|Energy Crops	Lan_Cov_Cro_Ene_Cro
Land Cover|Forest	Lan_Cov_Frs
Land Cover|Other Arable Land	Lan_Cov_Oth_Ara_Lan
Land Cover|Pasture	Lan_Cov_Pst
Policy Cost|Consumption Loss	Pol_Cos_Cns_Los
